"GRUPA_ID","SEKCIJA_ID","PODSEKCIJA_ID","PASMINA_ID","FCI_BROJ","NAZIV","ENGLESKI_NAZIV","PODSEKCIJA","SEKCIJA","GRUPA","ZEMLJA_PODRIJETLA","ILUSTRACIJA"
"2","3","4","54","327","RUSSKIY TCHIORNY TERRIER","RUSSIAN BLACK TERRIER","Tchiorny Terrier","Pinscher and Schnauzer type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","RUSSIA",""
"2","4","5","55","292","DOGO ARGENTINO","DOGO ARGENTINO","Mastiff type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","ARGENTINA","http://www.fci.be/Nomenclature/Illustrations/292g02.jpg"
"2","4","5","56","225","FILA BRASILEIRO","FILA BRASILEIRO","Mastiff type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","BRAZIL","http://www.fci.be/Nomenclature/Illustrations/225g02.jpg"
"2","4","5","57","309","SHAR PEI","SHAR PEI","Mastiff type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","CHINA",""
"2","4","5","58","315","BROHOLMER","BROHOLMER","Mastiff type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","DENMARK","http://www.fci.be/Nomenclature/Illustrations/315g02.jpg"
"2","4","5","59","116","DOGUE DE BORDEAUX","DOGUE DE BORDEAUX","Mastiff type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","FRANCE","http://www.fci.be/Nomenclature/Illustrations/116g02.jpg"
"2","4","5","60","144","DEUTSCHER BOXER","BOXER","Mastiff type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","GERMANY","http://www.fci.be/Nomenclature/Illustrations/144g02.jpg"
"2","4","5","61","235","DEUTSCHE DOGGE","GREAT DANE","Mastiff type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","GERMANY","http://www.fci.be/Nomenclature/Illustrations/235g02.jpg"
"2","4","5","62","147","ROTTWEILER","ROTTWEILER","Mastiff type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","GERMANY",""
"2","4","5","63","149","BULLDOG","BULLDOG","Mastiff type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","GREAT BRITAIN","http://www.fci.be/Nomenclature/Illustrations/149g02.jpg"
